subject,env,tree,tree_type,harvest_dur,num_harvests,difficulty_at_exit,score_tree,dur_per_harvest
5e9b5a4544abb6061b193dea,1,16,good,23384,10,19,93,"[0, 337, 665, 1056, 1369, 1711, 2064, 2384, 2544, 0]"
5e9b5a4544abb6061b193dea,1,17,bad,9968,5,21,40,"[0, 791, 1609, 2353, 0]"
5e9b5a4544abb6061b193dea,1,18,good,23729,10,19,90,"[0, 329, 624, 976, 1329, 1616, 1944, 2305, 2681, 0]"
5e9b5a4544abb6061b193dea,1,19,good,24858,11,21,100,"[0, 360, 647, 976, 1263, 1585, 1615, 1872, 2024, 2184, 0]"
5e9b5a4544abb6061b193dea,1,20,bad,12745,6,26,52,"[0, 800, 1512, 1993, 2440, 0]"
5e9b5a4544abb6061b193dea,1,21,good,24408,11,21,99,"[0, 344, 624, 1016, 1264, 1560, 1576, 1719, 1881, 2128, 0]"
5e9b5a4544abb6061b193dea,1,22,bad,9560,5,21,36,"[0, 816, 1592, 1944, 0]"
5e9b5a4544abb6061b193dea,1,23,good,24959,11,21,100,"[0, 343, 623, 864, 1208, 1456, 1527, 1961, 2287, 2457, 0]"
5e9b5a4544abb6061b193dea,1,24,good,25545,11,21,102,"[0, 336, 624, 808, 1024, 1496, 2231, 1984, 2169, 2295, 0]"
5e9b5a4544abb6061b193dea,1,25,good,25520,11,21,101,"[0, 376, 679, 1032, 1369, 1632, 1625, 1839, 2055, 2440, 0]"
5e9b5a4544abb6061b193dea,1,26,bad,10513,5,21,40,"[0, 864, 1601, 2377, 0]"
5e9b5a4544abb6061b193dea,1,27,bad,10064,5,21,40,"[0, 880, 1608, 1873, 0]"
5e9b5a4544abb6061b193dea,1,28,bad,8528,5,21,41,"[0, 824, 1344, 1865, 0]"
5e9b5a4544abb6061b193dea,1,29,good,22919,10,19,89,"[0, 368, 712, 1080, 1344, 1601, 1936, 1681, 2728, 0]"
5e9b5a4544abb6061b193dea,1,30,good,21183,10,19,95,"[0, 344, 664, 982, 1240, 1560, 1616, 1689, 2056, 0]"
5e9b5a4544abb6061b193dea,1,31,good,25706,11,21,101,"[0, 519, 624, 952, 1312, 2000, 1480, 1728, 1951, 2152, 0]"
5e9b5a4544abb6061b193dea,1,32,bad,16025,6,26,51,"[0, 880, 1408, 1800, 2536, 3257]"
66572731cb06ce43c72bdf8a,0,1,bad,122131,17,81,162,"[0, 675, 1311, 1991, 2844, 3939, 4620, 5745, 6455, 7669, 8576, 9728, 10610, 11855, 12282, 14002, 0]"
66572731cb06ce43c72bdf8a,0,2,bad,78260,13,61,117,"[0, 751, 1574, 2462, 3408, 4456, 5839, 6423, 8043, 8859, 10570, 10892, 0]"
66572731cb06ce43c72bdf8a,0,3,good,120062,23,45,221,"[0, 308, 619, 932, 1468, 1549, 2209, 2835, 3426, 3633, 4128, 4440, 4342, 4909, 5674, 6352, 6634, 6975, 7294, 7494, 7903, 8487, 0]"
66572731cb06ce43c72bdf8a,0,4,good,123800,23,45,221,"[0, 401, 621, 911, 1386, 2342, 2397, 2810, 3841, 3588, 4156, 4261, 4923, 6110, 6166, 7147, 6212, 7105, 7523, 8177, 7707, 7786, 0]"
66572731cb06ce43c72bdf8a,0,5,good,191428,29,57,280,"[0, 317, 604, 940, 1277, 1840, 2347, 2838, 3165, 3856, 4288, 4666, 5171, 5587, 5707, 6633, 7337, 7284, 7573, 7805, 7987, 8850, 8816, 9372, 9770, 10024, 10976, 10471, 622]"
66572731cb06ce43c72bdf8a,0,6,good,158925,26,51,253,"[0, 330, 639, 1041, 1519, 2271, 2562, 2963, 3406, 4373, 4844, 4285, 5098, 4830, 5436, 5983, 6640, 7293, 7199, 8102, 8548, 9099, 8616, 9531, 9779, 3550]"
66572731cb06ce43c72bdf8a,0,7,good,53141,15,29,143,"[0, 453, 696, 1331, 1436, 1989, 2446, 2949, 3155, 3519, 3801, 4416, 4852, 5101, 0]"
66572731cb06ce43c72bdf8a,0,8,good,17033,8,15,69,"[0, 314, 719, 1017, 1412, 1872, 2396, 980]"
66572731cb06ce43c72bdf8a,1,1,good,55415,14,27,135,"[0, 334, 710, 1258, 1511, 1911, 2465, 2825, 3383, 3864, 5896, 5276, 4939, 5272]"
66572731cb06ce43c72bdf8a,1,2,bad,148902,17,81,159,"[0, 792, 1631, 2925, 4346, 6085, 6421, 8129, 8632, 9838, 9721, 11556, 12712, 14067, 13704, 15040, 4013]"
66572731cb06ce43c72bdf8a,1,3,good,131064,23,45,216,"[0, 314, 604, 982, 1547, 2408, 2748, 2788, 3122, 3640, 4309, 4412, 4929, 6089, 6189, 6476, 6821, 7591, 7760, 7495, 7664, 8332, 8346]"
66572731cb06ce43c72bdf8a,1,4,good,157995,27,53,251,"[0, 536, 607, 1373, 1680, 1869, 2420, 2990, 3337, 3810, 4245, 4851, 5209, 5849, 5927, 6097, 6688, 6216, 6852, 6169, 6930, 7456, 8045, 8749, 9170, 9366, 0]"
66572731cb06ce43c72bdf8a,1,5,bad,129047,16,76,155,"[0, 876, 1573, 2498, 3891, 4572, 5528, 7047, 7106, 7797, 10691, 12406, 12851, 13368, 13392, 7050]"
66572731cb06ce43c72bdf8a,1,6,good,133631,25,49,237,"[0, 328, 672, 1070, 1492, 1820, 2362, 2836, 3029, 3549, 3872, 4116, 4820, 4640, 5460, 5903, 6293, 6695, 7233, 7378, 7998, 7716, 8322, 8198, 0]"
66572731cb06ce43c72bdf8a,1,7,bad,101078,14,66,128,"[0, 747, 1526, 2627, 3629, 4767, 5973, 6528, 7200, 8130, 9309, 11005, 11169, 13210]"
62713a003caa3feec5c6a0ba,0,1,bad,4689,2,6,10,"[0, 2881]"
62713a003caa3feec5c6a0ba,0,2,good,1505,2,3,10,"[0, 0]"
62713a003caa3feec5c6a0ba,0,3,good,2297,2,3,10,"[0, 530]"
62713a003caa3feec5c6a0ba,0,4,good,1752,2,3,10,"[0, 0]"
62713a003caa3feec5c6a0ba,0,5,good,12160,6,11,53,"[0, 1792, 800, 1088, 1352, 0]"
62713a003caa3feec5c6a0ba,0,6,good,7448,5,9,37,"[0, 360, 744, 1200, 0]"
62713a003caa3feec5c6a0ba,0,7,good,10640,6,11,49,"[0, 391, 776, 1176, 1576, 0]"
62713a003caa3feec5c6a0ba,0,8,good,7792,5,9,38,"[0, 680, 808, 1208, 0]"
